這	zh er4 
拉麵	l a1  m i4 a4 nn4 
正	zh ng4 
往	u3 a3 ng3 
樹	sh u4 
噴灑	p ern1  s a3 
農藥	n u2 ng2  i4 a4 u4 
警察	j i3 ng3  ch a2 
疏導	sh u1  d a3 u3 
人群	rh ern2  q yu2 nn2 
仔細	z a3 i3  x i4 
牙齒	i2 a2  ch ii3 
草叢	c a3 u3  c u2 ng2 
蟋蟀	x i1  sh u4 a4 i4 
留學生	l i2 o2 u2  x yu2 e2  sh ng1 
螞蟻	m a3  i3 
搬家	b a1 nn1  j i1 a1 
池塘	ch ii2  t a2 ng2 
理	l i3 
將要	j i1 a1 ng1  i4 a4 u4 
建	j i4 a4 nn4 
座	z u4 o4 
發電廠	f a1  d i4 a4 nn4  ch a3 ng3 
下山	x i4 a4  sh a1 nn1 
蛇	sh er2 
咬	i3 a3 u3 
計畫	j i4  h u4 a4 
台	t a2 i2 
招聘	zh a1 u1  p i4 nn4 
工程師	g u1 ng1  ch ng2  sh ii1 
便	b i4 a4 nn4 
依	i1 
抓到	zh u1 a1  d a4 u4 
小偷	x i3 a3 u3  t o1 u1 
大樓	d a4  l o2 u2 
設計師	sh er4  j i4  sh ii1 
擺好	b a3 i3  h a3 u3 
姿勢	z ii1  sh ii4 
準備	zh u3 nn3  b e4 i4 
拍照	p a1 i1  zh a4 u4 
宣布	x yu1 a1 nn1  b u4 
提前	t i2  q i2 a2 nn2 
擺	b a3 i3 
盤	p a2 nn2 
萬里長城	u4 a4 nn4  l i3  zh a3 ng3  ch ng2 
中外	zh u1 ng1  u4 a4 i4 
名聞	m i2 ng2  u2 nn2 
片	p i4 a4 nn4 
原始	yu2 a2 nn2  sh ii3 
森林	s ern1  l i2 nn2 
大火	d a4  h u3 o3 
棒球	b a4 ng4  q i2 o2 u2 
飛過來	f e1 i1  g u4 o4  l a2 i2 
打破	d a3  p o4 
窗戶	ch u1 a1 ng1  h u4 
白	b a2 i2 
鴿	g er1 
做完	z u4 o4  u2 a2 nn2 
功課	g u1 ng1  k er4 
才	c a2 i2 
上床	sh a4 ng4  ch u2 a2 ng2 
跳繩	t i4 a4 u4  sh ng2 
這裏	zh er4  l i3 
風俗	f ng1  s u2 
腰	i1 a1 u1 
老毛病	l a3 u3  m a2 u2  b i4 ng4 
又	i4 o4 u4 
犯	f a4 nn4 
茶杯	ch a2  b e1 i1 
碰翻	p ng4  f a1 nn1 
