一	i1 
月	yu4 e4 
月亮	yu4 e4  l i4 a4 ng4 
有	i3 o3 u3 
有事	i3 o3 u3  sh ii4 
有人	i3 o3 u3  rh ern2 
有什麼	i3 o3 u3  sh ern2  m er0 
有名	i3 o3 u3  m i2 ng2 
有座	i3 o3 u3  z u4 o4 
有書法	i3 o3 u3  sh u1  f a3 
有治氣	i3 o3 u3  zh ii4  q i4 
有禮	i3 o3 u3  l i3 
有約會	i3 o3 u3  yu1 e1  h u4 e4 i4 
有許	i3 o3 u3  x yu3 
有遠	i3 o3 u3  yu3 a3 nn3 
有點	i3 o3 u3  d i3 a3 nn3 
朋友	p ng2  i3 o3 u3 
服	f u2 
末	m o4 
本	b ern3 
本週	b ern3  zh o1 u1 
李白	l i3  b a2 i2 
束	sh u4 
杯	b e1 i1 
東西	d u1 ng1  x i1 
枝	zh ii1 
架上	j i4 a4  sh a4 ng4 
染上	rh a3 nn3  sh a4 ng4 
校隊	x i4 a4 u4  d u4 e4 i4 
格子	g er2  z ii0 
案子	a4 nn4  z ii0 
桌上	zh u1 o1  sh a4 ng4 
桌下	zh u1 o1  x i4 a4 
桌子	zh u1 o1  z ii0 
桌子上	zh u1 o1  z ii0  sh a4 ng4 
條	t i2 a2 u2 
棒球	b a4 ng4  q i2 o2 u2 
棒球賽	b a4 ng4  q i2 o2 u2  s a4 i4 
森林	s ern1  l i2 nn2 
樓	l o2 u2 
樓下	l o2 u2  x i4 a4 
樹	sh u4 
樹上	sh u4  sh a4 ng4 
橋	q i2 a2 u2 
橘色	j yu2  s er4 
橘黃色	j yu2  h u2 a2 ng2  s er4 
橙黃色	ch ng2  h u2 a2 ng2  s er4 
機	j i1 
檢查	j i3 a3 nn3  ch a2 
櫃子	g u4 e4 i4  z ii0 
欄	l a2 nn2 
次	c ii4 
歌劇	g er1  j yu4 
歌唱	g er1  ch a4 ng4 
歡迎	h u1 a1 nn1  i2 ng2 
正	zh ng4 
正四處	zh ng4  s ii4  ch u4 
正在	zh ng4  z a4 i4 
正式	zh ng4  sh ii4 
正往	zh ng4  u3 a3 ng3 
步	b u4 
歷史	l i4  sh ii3 
段	d u4 a4 nn4 
毀了	h u3 e3 i3  l er0 
每	m e3 i3 
每個	m e3 i3  g er0 
每天	m e3 i3  t i1 a1 nn1 
每天晚上	m e3 i3  t i1 a1 nn1  u3 a3 nn3  sh a4 ng4 
每年	m e3 i3  n i2 a2 nn2 
比	b i3 
比賽	b i3  s a4 i4 
比較	b i3  j i4 a4 u4 
毛毛雨	m a2 u2  m a2 u2  yu3 
氣	q i4 
氣喘	q i4  ch u3 a3 nn3 
氣喝	q i4  h er1 
氣溫	q i4  u1 nn1 
水	sh u3 e3 i3 
水果	sh u3 e3 i3  g u3 o3 
水果糖	sh u3 e3 i3  g u3 o3  t a2 ng2 
水泡	sh u3 e3 i3  p a4 u4 
水準備	sh u3 e3 i3  zh u3 nn3  b e4 i4 
水餃	sh u3 e3 i3  j i3 a3 u3 
水龍頭	sh u3 e3 i3  l u2 ng2  t o2 u2 
池塘	ch ii2  t a2 ng2 
決策	j yu2 e2  c er4 
決賽	j yu2 e2  s a4 i4 
汽車門	q i4  ch er1  m ern2 
沉沉的	ch ern2  ch ern2  d er0 
沒	m e2 i2 
沒有	m e2 i2  i3 o3 u3 
沒能	m e2 i2  n ng2 
沖	ch u1 ng1 
沖垮	ch u1 ng1  k u3 a3 
沖毀	ch u1 ng1  h u3 e3 i3 
油	i2 o2 u2 
油畫	i2 o2 u2  h u4 a4 
治	zh ii4 
治氣	zh ii4  q i4 
治療	zh ii4  l i2 a2 u2 
注意	zh u4  i4 
洋裝	i2 a2 ng2  zh u1 a1 ng1 
洗	x i3 
洗廁	x i3  c er4 
洗廁所	x i3  c er4  s u3 o3 
洪水	h u2 ng2  sh u3 e3 i3 
海外	h a3 i3  u4 a4 i4 
消息	x i1 a1 u1  x i2 
淨	j i4 ng4 
深夜	sh ern1  i4 e4 
清明	q i1 ng1  m i2 ng2 
清明節	q i1 ng1  m i2 ng2  j i2 e2 
減價	j i3 a3 nn3  j i4 a4 
準備	zh u3 nn3  b e4 i4 
溜冰	l i1 o1 u1  b i1 ng1 
溫響	u1 nn1  x i3 a3 ng3 
溫香	u1 nn1  x i1 a1 ng1 
溫馨	u1 nn1  x i1 nn1 
滿	m a3 nn3 
滿意	m a3 nn3  i4 
滿月	m a3 nn3  yu4 e4 
演唱	i3 a3 nn3  ch a4 ng4 
演唱會	i3 a3 nn3  ch a4 ng4  h u4 e4 i4 
演講	i3 a3 nn3  j i3 a3 ng3 
漲	zh a3 ng3 
火車	h u3 o3  ch er1 
火車站	h u3 o3  ch er1  zh a4 nn4 
灰	h u1 e1 i1 
災區	z a1 i1  q yu1 
炒	ch a3 u3 
炒菜	ch a3 u3  c a4 i4 
為	u4 e4 i4 
為什麼	u4 e4 i4  sh ern2  m er0 
無聊	u2  l i2 a2 u2 
照相	zh a4 u4  x i4 a4 ng4 
熊貓	x i2 o2 ng2  m a1 u1 
熟悉	sh o2 u2  x i1 
熬	a2 u2 
熬中藥	a2 u2  zh u1 ng1  i4 a4 u4 
熱帶魚	rh er4  d a4 i4  yu2 
燈	d ng1 
燈光	d ng1  g u1 a1 ng1 
燈會	d ng1  h u4 e4 i4 
營業	i2 ng2  i4 e4 
爬	p a2 
爬滿	p a2  m a3 nn3 
父母	f u4  m u3 
爸爸	b a4  b a4 
爺爺	i2 e2  i2 e2 
牆	q i2 a2 ng2 
牆上	q i2 a2 ng2  sh a4 ng4 
片	p i4 a4 nn4 
牌子	p a2 i2  z ii0 
牙齒	i2 a2  ch ii3 
牛花	n i2 o2 u2  h u1 a1 
物價	u4  j i4 a4 
特別	t er4  b i2 e2 
牽	q i1 a1 nn1 
牽牛花	q i1 a1 nn1  n i2 o2 u2  h u1 a1 
犯	f a4 nn4 
狗	g o3 u3 
狼	l a2 ng2 
狼狗	l a2 ng2  g o3 u3 
獲得	h u4 o4  d er2 
獲獎	h u4 o4  j i3 a3 ng3 
玉	yu4 
玉手	yu4  sh o3 u3 
玉手環	yu4  sh o3 u3  h u2 a2 nn2 
玩	u2 a2 nn2 
玩撲克牌	u2 a2 nn2  p u1  k er4  p a2 i2 
班	b a1 nn1 
班上	b a1 nn1  sh a4 ng4 
班列	b a1 nn1  l i4 e4 
班長	b a1 nn1  zh a3 ng3 
現在	x i4 a4 nn4  z a4 i4 
現在會	x i4 a4 nn4  z a4 i4  h u4 e4 i4 
球	q i2 o2 u2 
球賽	q i2 o2 u2  s a4 i4 
球隊	q i2 o2 u2  d u4 e4 i4 
理	l i3 
環	h u2 a2 nn2 
瓜子	g u1 a1  z ii0 
生手	sh ng1  sh o3 u3 
生日	sh ng1  rh ii4 
生活	sh ng1  h u2 o2 
用	i4 o4 ng4 
申請	sh ern1  q i3 ng3 
男生	n a2 nn2  sh ng1 
留學生	l i2 o2 u2  x yu2 e2  sh ng1 
留意	l i2 o2 u2  i4 
畢業	b i4  i4 e4 
畢業典禮	b i4  i4 e4  d i3 a3 nn3  l i3 
畫	h u4 a4 
當	d a1 ng1 
當勞	d a1 ng1  l a2 u2 
疏導	sh u1  d a3 u3 
疹子	zh ern3  z ii0 
病人	b i4 ng4  rh ern2 
病假	b i4 ng4  j i4 a4 
痛	t u4 ng4 
登山	d ng1  sh a1 nn1 
發現	f a1  x i4 a4 nn4 
發生	f a1  sh ng1 
發達	f a1  d a2 
發電	f a1  d i4 a4 nn4 
發電廠	f a1  d i4 a4 nn4  ch a3 ng3 
白	b a2 i2 
白鴿	b a2 i2  g er1 
的	d er0 
的確	d er0  q yu4 e4 
盒	h er2 
盛	sh ng4 
盤	p a2 nn2 
相信	x i1 a1 ng1  x i4 nn4 
相機	x i1 a1 ng1  j i1 
盼望	p a4 nn4  u4 a4 ng4 
看	k a4 nn4 
看到	k a4 nn4  d a4 u4 
看天氣	k a4 nn4  t i1 a1 nn1  q i4 
看法	k a4 nn4  f a3 
看法上	k a4 nn4  f a3  sh a4 ng4 
看球賽	k a4 nn4  q i2 o2 u2  s a4 i4 
看看	k a4 nn4  k a4 nn4 
看花燈	k a4 nn4  h u1 a1  d ng1 
看起	k a4 nn4  q i3 
看起來	k a4 nn4  q i3  l a2 i2 
看電視	k a4 nn4  d i4 a4 nn4  sh ii4 
真的	zh ern1  d er0 
眼鏡	i3 a3 nn3  j i4 ng4 
睡覺	sh u4 e4 i4  j yu2 e2 
碗	u3 a3 nn3 
碰到	p ng4  d a4 u4 
碰翻	p ng4  f a1 nn1 
確的確	q yu4 e4  d er0  q yu4 e4 
祖傳	z u3  ch u2 a2 nn2 
票	p i4 a4 u4 
福利	f u2  l i4 
福利待遇	f u2  l i4  d a4 i4  yu4 
禮	l i3 
禮堂	l i3  t a2 ng2 
禮物	l i3  u4 
禮物給	l i3  u4  g e3 i3 
禮給	l i3  g e3 i3 
秘方	m i4  f a1 ng1 
秘書	m i4  sh u1 
種	zh u3 ng3 
種了	zh u3 ng3  l er0 
稿	g a3 u3 
積水積	j i1  sh u3 e3 i3  j i1 
積滿	j i1  m a3 nn3 
積雪	j i1  x yu3 e3 
積雪長	j i1  x yu3 e3  zh a3 ng3 
穿	ch u1 a1 nn1 
穿制	ch u1 a1 nn1  zh ii4 
穿運動	ch u1 a1 nn1  yu4 nn4  d u4 ng4 
突然	t u1  rh a2 nn2 
窗戶	ch u1 a1 ng1  h u4 
站	zh a4 nn4 
站裡	zh a4 nn4  l i3 
笑	x i4 a4 u4 
第一	d i4  i1 
筆	b i3 
等	d ng3 
答應	d a2  i1 ng1 
管理	g u3 a3 nn3  l i3 
管理員	g u3 a3 nn3  l i3  yu2 a2 nn2 
節	j i2 e2 
節下	j i2 e2  x i4 a4 
節目	j i2 e2  m u4 
節目裡	j i2 e2  m u4  l i3 
節要	j i2 e2  i4 a4 u4 
簡單	j i3 a3 nn3  d a1 nn1 
籃球	l a2 nn2  q i2 o2 u2 
籃球隊	l a2 nn2  q i2 o2 u2  d u4 e4 i4 
粉紅色	f ern3  h u2 ng2  s er4 
粥	zh o1 u1 
粧	zh u1 a1 ng1 
糖	t a2 ng2 
紀念品	j i4  n i4 a4 nn4  p i3 nn3 
約	yu1 e1 
約個	yu1 e1  g er0 
約會	yu1 e1  h u4 e4 i4 
終於	zh u1 ng1  yu2 
給	g e3 i3 
給他	g e3 i3  t a1 
給媽媽	g e3 i3  m a1  m a1 
給我媽媽	g e3 i3  u3 o3  m a1  m a1 
給災區	g e3 i3  z a1 i1  q yu1 
給給	g e3 i3  g e3 i3 
經	j i1 ng1 
經常	j i1 ng1  ch a2 ng2 
經常去	j i1 ng1  ch a2 ng2  q yu4 
經常寄些	j i1 ng1  ch a2 ng2  j i4  x i1 e1 
經常帶	j i1 ng1  ch a2 ng2  d a4 i4 
經常經	j i1 ng1  ch a2 ng2  j i1 ng1 
經理	j i1 ng1  l i3 
經理來	j i1 ng1  l i3  l a2 i2 
經理談	j i1 ng1  l i3  t a2 nn2 
經開	j i1 ng1  k a1 i1 
經驗	j i1 ng1  i4 a4 nn4 
綵	c a3 i3 
緊張	j i3 nn3  zh a1 ng1 
緊身	j i3 nn3  sh ern1 
練	l i4 a4 nn4 
練練	l i4 a4 nn4  l i4 a4 nn4 
練習	l i4 a4 nn4  x i2 
縫	f ng4 
繩	sh ng2 
缸	g a1 ng1 
美	m e3 i3 
群	q yu2 nn2 
習彈	x i2  d a4 nn4 
習慣	x i2  g u4 a4 nn4 
翻倒	f a1 nn1  d a3 u3 
老	l a3 u3 
老同學	l a3 u3  t u2 ng2  x yu2 e2 
老奶奶	l a3 u3  n a3 i3  n a3 i3 
老家	l a3 u3  j i1 a1 
老師	l a3 u3  sh ii1 
老朋友	l a3 u3  p ng2  i3 o3 u3 
老毛病	l a3 u3  m a2 u2  b i4 ng4 
老花	l a3 u3  h u1 a1 
老花眼	l a3 u3  h u1 a1  i3 a3 nn3 
老花眼鏡	l a3 u3  h u1 a1  i3 a3 nn3  j i4 ng4 
老闆	l a3 u3  b a3 nn3 
老鼠	l a3 u3  sh u3 
考考	k a3 u3  k a3 u3 
考試	k a3 u3  sh ii4 
考題	k a3 u3  t i2 
聖誕節	sh ng4  d a4 nn4  j i2 e2 
聚	j yu4 
聚會	j yu4  h u4 e4 i4 
聞名	u2 nn2  m i2 ng2 
聯	l i2 a2 nn2 
聯考	l i2 a2 nn2  k a3 u3 
聯考試	l i2 a2 nn2  k a3 u3  sh ii4 
職位	zh ii2  u4 e4 i4 
職業	zh ii2  i4 e4 
聽	t i1 ng1 
聽到	t i1 ng1  d a4 u4 
聽歌	t i1 ng1  g er1 
肚子	d u3  z ii0 
肚子疼	d u3  z ii0  t ng2 
肚子痛	d u4  z ii0  t u4 ng4 
肯定	k ern3  d i4 ng4 
背誦	b e4 i4  s u4 ng4 
胞胎	b a1 u1  t a1 i1 
能	n ng2 
能力	n ng2  l i4 
腰	i1 a1 u1 
腰痛	i1 a1 u1  t u4 ng4 
腳	j i3 a3 u3 
腳上	j i3 a3 u3  sh a4 ng4 
腳長	j i3 a3 u3  zh a3 ng3 
膽	d a3 nn3 
膽小鬼	d a3 nn3  x i3 a3 u3  g u3 e3 i3 
臉	l i3 a3 nn3 
臉上	l i3 a3 nn3  sh a4 ng4 
自信	z ii4  x i4 nn4 
自己	z ii4  j i3 
舉辦	j yu3  b a4 nn4 
舒服	sh u1  f u2 
舞會	u3  h u4 e4 i4 
花	h u1 a1 
花園	h u1 a1  yu2 a2 nn2 
花園裡	h u1 a1  yu2 a2 nn2  l i3 
花店	h u1 a1  d i4 a4 nn4 
花貓	h u1 a1  m a1 u1 
英文	i1 ng1  u2 nn2 
英語	i1 ng1  yu3 
茶	ch a2 
茶杯	ch a2  b e1 i1 
草叢	c a3 u3  c u2 ng2 
草叢裡	c a3 u3  c u2 ng2  l i3 
菜	c a4 i4 
菸	i1 a1 nn1 
萬元	u4 a4 nn4  yu2 a2 nn2 
萬里長	u4 a4 nn4  l i3  zh a3 ng3 
萬里長城	u4 a4 nn4  l i3  zh a3 ng3  ch ng2 
著	zh u4 
著能	zh u4  n ng2 
著識	zh u4  sh ii2 
藥	i4 a4 u4 
蚊	u2 nn2 
蚊香	u2 nn2  x i1 a1 ng1 
蛇	sh er2 
蛋	d a4 nn4 
蛋糕	d a4 nn4  g a1 u1 
螞蟻	m a3  i3 
蟋蟀	x i1  sh u4 a4 i4 
行業	x i2 ng2  i4 e4 
行為	x i2 ng2  u4 e4 i4 
術	sh u4 
衛生	u4 e4 i4  sh ng1 
衣	i1 
衣服	i1  f u2 
衣物	i1  u4 
表演	b i3 a3 u3  i3 a3 nn3 
被	b e4 i4 
被門	b e4 i4  m ern2 
裏	l i3 
裝修	zh u1 a1 ng1  x i1 o1 u1 
裡	l i3 
裡幫	l i3  b a1 ng1 
裡種	l i3  zh u3 ng3 
裡養	l i3  i3 a3 ng3 
西瓜	x i1  g u1 a1 
要	i4 a4 u4 
要賽	i4 a4 u4  s a4 i4 
要辦	i4 a4 u4  b a4 nn4 
要開	i4 a4 u4  k a1 i1 
要點	i4 a4 u4  d i3 a3 nn3 
見	j i4 a4 nn4 
見面	j i4 a4 nn4  m i4 a4 nn4 
規定	g u1 e1 i1  d i4 ng4 
親人	q i1 nn1  rh ern2 
親人團	q i1 nn1  rh ern2  t u2 a2 nn2 
覺得	j yu2 e2  d er2 
覺得頭	j yu2 e2  d er2  t o2 u2 
觀點	g u1 a1 nn1  d i3 a3 nn3 
訂單	d i4 ng4  d a1 nn1 
計劃	j i4  h u4 a4 
計畫	j i4  h u4 a4 
討論	t a3 u3  l u4 nn4 
記	j i4 
記得	j i4  d er2 
記者	j i4  zh er3 
訪客	f a3 ng3  k er4 
設計師	sh er4  j i4  sh ii1 
許多	x yu3  d u1 o1 
詞詩	c ii2  sh ii1 
試	sh ii4 
詩歌	sh ii1  g er1 
詩詞	sh ii1  c ii2 
說	sh u1 o1 
誰	sh u2 e2 i2 
課	k er4 
課才	k er4  c a2 i2 
談	t a2 nn2 
請	q i3 ng3 
請教	q i3 ng3  j i4 a4 u4 
講	j i3 a3 ng3 
講話	j i3 a3 ng3  h u4 a4 
證	zh ng4 
識別	sh ii2  b i2 e2 
識別證	sh ii2  b i2 e2  zh ng4 
警察	j i3 ng3  ch a2 
議室	i4  sh ii4 
護士	h u4  sh ii4 
讀書	d u2  sh u1 
讓	rh a4 ng4 
豆漿	d o4 u4  j i1 a1 ng1 
豆腐	d o4 u4  f u0 
豐富	f ng1  f u4 
貓	m a1 u1 
貓很可愛	m a1 u1  h ern3  k er3  a4 i4 
貓把床	m a1 u1  b a3  ch u2 a2 ng2 
貝殼	b e4 i4  k er2 
貨	h u4 o4 
貨架	h u4 o4  j i4 a4 
貨架上	h u4 o4  j i4 a4  sh a4 ng4 
買	m a3 i3 
買些	m a3 i3  x i1 e1 
買回	m a3 i3  h u2 e2 i2 
買油	m a3 i3  i2 o2 u2 
買車	m a3 i3  ch er1 
買電	m a3 i3  d i4 a4 nn4 
貸款	d a4 i4  k u3 a3 nn3 
貼	t i1 e1 
貼著	t i1 e1  zh u4 
賀卡	h er4  k a3 
資格	z ii1  g er2 
賞	sh a3 ng3 
賞月	sh a3 ng3  yu4 e4 
賽	s a4 i4 
賽實況	s a4 i4  sh ii2  k u4 a4 ng4 
起	q i3 
起來	q i3  l a2 i2 
起床	q i3  ch u2 a2 ng2 
超商	ch a1 u1  sh a1 ng1 
超市	ch a1 u1  sh ii4 
趕	g a3 nn3 
趕截	g a3 nn3  j i2 e2 
足球	z u2  q i2 o2 u2 
跑	p a3 u3 
跑步	p a3 u3  b u4 
跟	g ern1 
跨海	k u4 a4  h a3 i3 
路上	l u4  sh a4 ng4 
跳	t i4 a4 u4 
跳繩	t i4 a4 u4  sh ng2 
踢	t i1 
踢足球	t i1  z u2  q i2 o2 u2 
車	ch er1 
較	j i4 a4 u4 
轉播	zh u3 a3 nn3  b o1 
辦	b a4 nn4 
辦慶祝	b a4 nn4  q i4 ng4  zh u4 
辦理	b a4 nn4  l i3 
辦理入	b a4 nn4  l i3  rh u4 
辭職	c ii2  zh ii2 
農藥	n u2 ng2  i4 a4 u4 
迷	m i2 
退潮	t u4 e4 i4  ch a2 u2 
送	s u4 ng4 
送人	s u4 ng4  rh ern2 
送禮物	s u4 ng4  l i3  u4 
送給	s u4 ng4  g e3 i3 
這	zh er4 
這件	zh er4  j i4 a4 nn4 
這位	zh er4  u4 e4 i4 
這位醫	zh er4  u4 e4 i4  i1 
這個	zh er4  g er0 
這兩個	zh er4  l i3 a3 ng3  g er0 
這場	zh er4  ch a3 ng3 
這學期	zh er4  x yu2 e2  q i2 
這家	zh er4  j i1 a1 
這家書店	zh er4  j i1 a1  sh u1  d i4 a4 nn4 
這幾個	zh er4  j i3  g er0 
這張	zh er4  zh a1 ng1 
這次	zh er4  c ii4 
這段	zh er4  d u4 a4 nn4 
這班	zh er4  b a1 nn1 
這群	zh er4  q yu2 nn2 
這裏	zh er4  l i3 
這裡	zh er4  l i3 
這裡風	zh er4  l i3  f ng1 
這部	zh er4  b u4 
這間	zh er4  j i1 a1 nn1 
這隻	zh er4  zh ii1 
這風景	zh er4  f ng1  j i3 ng3 
通緝令	t u1 ng1  j i1  l i4 ng4 
逛	g u4 a4 ng4 
逛書店	g u4 a4 ng4  sh u1  d i4 a4 nn4 
連續	l i2 a2 nn2  x yu4 
連續劇	l i2 a2 nn2  x yu4  j yu4 
週末	zh o1 u1  m o4 
遇到	yu4  d a4 u4 
遊客	i2 o2 u2  k er4 
遊客們	i2 o2 u2  k er4  m ern0 
運動	yu4 nn4  d u4 ng4 
運動員	yu4 nn4  d u4 ng4  yu2 a2 nn2 
運動鞋	yu4 nn4  d u4 ng4  x i2 e2 
過	g u4 o4 
過滿	g u4 o4  m a3 nn3 
過生日	g u4 o4  sh ng1  rh ii4 
遠	yu3 a3 nn3 
遠見	yu3 a3 nn3  j i4 a4 nn4 
遠遠	yu3 a3 nn3  yu3 a3 nn3 
遠遠的	yu3 a3 nn3  yu3 a3 nn3  d er0 
適合	sh ii4  h er2 
選	x yu3 a3 nn3 
邀	i1 a1 u1 
邀請	i1 a1 u1  q i3 ng3 
那	n a4 
那個	n a4  g er0 
那壺	n a4  h u2 
那套	n a4  t a4 u4 
那家	n a4  j i1 a1 
那座	n a4  z u4 o4 
那張	n a4  zh a1 ng1 
那片	n a4  p i4 a4 nn4 
那裏	n a4  l i3 
那裡	n a4  l i3 
那邊	n a4  b i1 a1 nn1 
那間	n a4  j i1 a1 nn1 
郊區	j i1 a1 u1  q yu1 
部	b u4 
部門	b u4  m ern2 
部門春節	b u4  m ern2  ch u1 nn1  j i2 e2 
都	d o1 u1 
鄰	l i2 nn2 
鄰居	l i2 nn2  j yu1 
鄰居家	l i2 nn2  j yu1  j i1 a1 
配	p e4 i4 
醫學院	i1  x yu2 e2  yu4 a4 nn4 
醫生	i1  sh ng1 
醫院	i1  yu4 a4 nn4 
金	j i1 nn1 
金項	j i1 nn1  x i4 a4 ng4 
金項鍊	j i1 nn1  x i4 a4 ng4  l i4 a4 nn4 
金魚	j i1 nn1  yu2 
針	zh ern1 
銀行	i2 nn2  x i2 ng2 
鋼琴	g a1 ng1  q i2 nn2 
鋼筆	g a1 ng1  b i3 
錄取	l u4  q yu3 
錢	q i2 a2 nn2 
錢給	q i2 a2 nn2  g e3 i3 
錶	b i3 a3 u3 
鍊	l i4 a4 nn4 
鏡	j i4 ng4 
鏡看	j i4 ng4  k a4 nn4 
鐘	zh u1 ng1 
鐘去	zh u1 ng1  q yu4 
鐘火車	zh u1 ng1  h u3 o3  ch er1 
鑰匙	i4 a4 u4  sh ii0 
長	zh a3 ng3 
長了	zh a3 ng3  l er0 
長假	zh a3 ng3  j i3 a3 
長年	zh a3 ng3  n i2 a2 nn2 
開	k a1 i1 
開家長	k a1 i1  j i1 a1  zh a3 ng3 
開幕	k a1 i1  m u4 
開幕典禮	k a1 i1  m u4  d i3 a3 nn3  l i3 
開庭	k a1 i1  t i2 ng2 
開會	k a1 i1  h u4 e4 i4 
開會時	k a1 i1  h u4 e4 i4  sh ii2 
開除	k a1 i1  ch u2 
間	j i1 a1 nn1 
闆	b a3 nn3 
關	g u1 a1 nn1 
關心	g u1 a1 nn1  x i1 nn1 
關水龍頭	g u1 a1 nn1  sh u3 e3 i3  l u2 ng2  t o2 u2 
防水	f a2 ng2  sh u3 e3 i3 
阿姨	a1  i2 
除了	ch u2  l er0 
隊員	d u4 e4 i4  yu2 a2 nn2 
隊終	d u4 e4 i4  zh u1 ng1 
隔壁	g er2  b i4 
隔壁家	g er2  b i4  j i1 a1 
隻	zh ii1 
雙胞胎	sh u1 a1 ng1  b a1 u1  t a1 i1 
雜草	z a2  c a3 u3 
雜草長	z a2  c a3 u3  zh a3 ng3 
雞	j i1 
雞蛋	j i1  d a4 nn4 
難	n a2 nn2 
難記	n a2 nn2  j i4 
雨	yu3 
雨傘	yu3  s a3 nn3 
零下	l i2 ng2  x i4 a4 
電	d i4 a4 nn4 
電器	d i4 a4 nn4  q i4 
電影	d i4 a4 nn4  i3 ng3 
電影票	d i4 a4 nn4  i3 ng3  p i4 a4 u4 
電腦	d i4 a4 nn4  n a3 u3 
電腦迷	d i4 a4 nn4  n a3 u3  m i2 
電視	d i4 a4 nn4  sh ii4 
電視上	d i4 a4 nn4  sh ii4  sh a4 ng4 
電視劇	d i4 a4 nn4  sh ii4  j yu4 
電話	d i4 a4 nn4  h u4 a4 
電話給	d i4 a4 nn4  h u4 a4  g e3 i3 
電費	d i4 a4 nn4  f e4 i4 
電風扇	d i4 a4 nn4  f ng1  sh a4 nn4 
需付	x yu1  f u4 
需要	x yu1  i4 a4 u4 
非常	f e1 i1  ch a2 ng2 
鞋	x i2 e2 
音樂	i1 nn1  l er4 
項鍊	x i4 a4 ng4  l i4 a4 nn4 
預報	yu4  b a4 u4 
預定	yu4  d i4 ng4 
預訂	yu4  d i4 ng4 
領帶	l i3 ng3  d a4 i4 
頭	t o2 u2 
頭上	t o2 u2  sh a4 ng4 
頭銜	t o2 u2  x i2 a2 nn2 
題	t i2 
願	yu4 a4 nn4 
願意	yu4 a4 nn4  i4 
願意選	yu4 a4 nn4  i4  x yu3 a3 nn3 
顯得	x i3 a3 nn3  d er2 
風	f ng1 
風俗	f ng1  s u2 
風景	f ng1  j i3 ng3 
風箏	f ng1  zh ng1 
飛機	f e1 i1  j i1 
飛過	f e1 i1  g u4 o4 
飛過來	f e1 i1  g u4 o4  l a2 i2 
飯	f a4 nn4 
飯店	f a4 nn4  d i4 a4 nn4 
飼料	s ii4  l i4 a4 u4 
餃	j i3 a3 u3 
餃子	j i3 a3 u3  z ii0 
養	i3 a3 ng3 
餐廳	c a1 nn1  t i1 ng1 
香	x i1 a1 ng1 
香火	x i1 a1 ng1  h u3 o3 
香火很盛	x i1 a1 ng1  h u3 o3  h ern3  sh ng4 
馬	m a3 
馬路	m a3  l u4 
馬路上	m a3  l u4  sh a4 ng4 
騎車	q i2  ch er1 
骨頭	g u3  t o2 u2 
高跟	g a1 u1  g ern1 
高跟鞋	g a1 u1  g ern1  x i2 e2 
魂	h u2 nn2 
魚	yu2 
魚飼料	yu2  s ii4  l i4 a4 u4 
鮮花	x i1 a1 nn1  h u1 a1 
鴿	g er1 
鹽	i2 a2 nn2 
鹽巴	i2 a2 nn2  b a1 
麥當勞	m a4 i4  d a1 ng1  l a2 u2 
麵	m i4 a4 nn4 
麵包店	m i4 a4 nn4  b a1 u1  d i4 a4 nn4 
麻婆	m a2  p o2 
麻婆豆腐	m a2  p o2  d o4 u4  f u0 
麻疹	m a2  zh ern3 
點	d i3 a3 nn3 
龍井茶	l u2 ng2  j i3 ng3  ch a2 
<unk>	SIL
